"I am not a product of my circumstances. I am a product of my decisions."|Stephen Covey
"Я не плод моих обстоятельств. Я плод моих решений."|Стивен Кови
"I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."|Maya Angelou
"Люди забудут, что ты сказал, они забудут, что ты сделал, но они всегда будут помнить, что почувствовали благодаря тебе."|Майя Энджелоу
"Remember no one can make you feel inferior without your consent."|Eleanor Roosevelt
"Запомните, никто не заставит вас чувствовать себя неполноценным без вашего согласия."|Элеонора Рузвельт
"A person who never made a mistake never tried anything new."|Albert Einstein
"Человек, никогда не совершавший ошибок, никогда не пробовал ничего нового."|Альберт Эйнштейн
"Watch your thoughts for they become words. Watch your words for they become actions. Watch your actions for they become habits. Watch your habits for they become your character. And watch your character for it becomes your destiny. What we think, we become."|Margaret Thatcher
"Следите за своими мыслями, ибо обращаются они в слова, слова – в действия, а действия – в привычки. Берегитесь привычек, ибо они формируют ваш характер. Усмиряйте характер, ибо он становится судьбой. Что мы думаем – тем и становимся…"|Маргарет Тэтчер
"Strive not to be a success, but rather to be of value."|Albert Einstein
"Стремись не к тому, чтобы добиться успеха, а к тому, чтобы твоя жизнь имела смысл."|Альберт Эйнштейн
"Build your own dreams, or someone else will hire you to build theirs."|Farrah Gray
"Стройте свои собственные мечты, иначе кто-то другой использует вас, чтобы построить свои."|Фара Грей
"Look at a day when you are supremely satisfied at the end. It’s not a day when you lounge around doing nothing; it’s a day you’ve had everything to do and you’ve done it."|Margaret Thatcher
"Обратите внимание на каждый из дней, вечером которого вас наполняет радость и удовлетворение. И вы увидите, что это — не тот день, когда Вы предавались праздному безделью, а день, когда вам многое предстояло сделать, и вы великолепно справились с этим."|Маргарет Тэтчер
"Life is not about waiting for the storm to pass… it’s about learning to dance in the rain."|Vivian Greene
"Смысл жизни не в том, чтобы ждать, когда закончится гроза, а в том, чтобы учиться танцевать под дождем."|Вивиан Грин
"If you hear a voice within you say “you cannot paint,” then by all means paint and that voice will be silenced."|Vincent Van Gogh
"Если вы слышите внутренний голос, который говорит вам «вы не сможете рисовать», рисуйте, во что бы то ни стало, и этот голос однажды замолчит."|Винсент Ван Гог
"Great minds discuss ideas; average minds discuss events; small minds discuss people."|Eleanor Roosevelt
"Великие умы обсуждают идеи. Средние умы обсуждают события. Мелкие умы обсуждают людей."|Элеонора Рузвельт
"Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.’s life."|Martin Luther King, JR.
"Темнота не может разогнать темноту: на это способен только свет. Ненависть не может уничтожить ненависть: только любовь способна на это."|Мартин Лютер Кинг
"The only thing we have to fear is fear itself."|Franklin D. Roosevelt
"Единственное, чего мы должны бояться, так это самого страха."|Франклин Делано Рузвельт
"The secret to success is constancy of purpose."|Benjamin Disraeli
"Секрет успеха — это настойчивое стремление к цели."|Бенджамин Дизраэли
"How wonderful it is that nobody need wait a single moment before starting to improve the world."|Anne Frank
"Хорошо, что никому не нужно ждать ни минуты, чтобы начать делать мир лучше."|Анна Франк
"Success is walking from failure to failure with no loss of enthusiasm."|Winston Churchill
"Успех — это умение двигаться от одной неудачи к другой не теряя энтузиазма."|Уинстон Черчилль
"Live as if you were to die tomorrow. Learn as if you were to live forever."|Mahatma Gandhi
"Живи так, будто завтра умрешь; учись так, будто проживешь вечно."|Махатма Ганди
"I have not failed. I’ve just found 10,000 ways that won’t work."|Thomas A. Edison
"Я не потерпел неудачу. Я только нашел 10000 способов, которые не будут работать."|Томас А. Эдисон
"How many cares one loses when one decides not to be something but to be someone."|Gabrielle “Coco” Chanel
"Сколько забот исчезнет, если решиться быть не чем-то, а кем-то."|Габриэль "Коко" Шанель
"Whenever you find yourself on the side of the majority, it is time to pause and reflect."|Mark Twain
"Если вы заметили, что вы на стороне большинства, это верный признак того, что пора меняться (или остановиться и задуматься)."|Марк Твен
"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it."|Henry Ford
"Когда кажется, что весь мир настроен против тебя, помни, что самолёт взлетает против ветра."|Генри Форд
"The journey of a thousand miles begins with one step."|Lao Tzu
"Путь в тысячу миль начинается с одного шага."|Лао Цзы
"You must be the change you wish to see in the world."|Gandhi
"Вы должны быть теми изменениями, которые вы хотим видеть в мире."|Ганди
"Don’t wait. The time will never be just right."|Napoleon Hill
"Не ждите. Время никогда не будет идеальным."|Наполеон Хилл
"What we fear doing most is usually what we most need to do."|Tim Ferriss
"Больше всего мы боимся совершать самые необходимые поступки."|Тимоти Феррис
"There is only one way to avoid criticism: do nothing, say nothing, and be nothing."|Aristotle
"Есть только один способ избежать критики — ничего не делать, ничего не говорить и не быть никем."|Аристотель
"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life."|John Lennon
"Когда мне было 5 лет, моя мать сказала, что счастье — это главное в жизни. Когда я пошел в школу, и меня спросили, кем я хочу стать, когда выросту, я ответил «счастливым». Они сказали, что я не понял вопроса, а я ответил, что они не понимают жизни."|Джон Леннон
"I’ve missed more than 9000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life. And that is why I succeed."|Michael Jordan
"Я сделал более 9000 неудачных бросков за свою карьеру. Я проиграл почти 300 игр. 26 раз мне доверили сделать решающий бросок в матче, и я промахнулся. Я проигрывал снова, снова, и снова, всю свою жизнь. Вот, почему я добился успеха."|Майкл Джордан
"I didn’t fail the test. I just found 100 ways to do it wrong."|Benjamin Franklin
"Я не провалил тест, я просто нашел 100 способов сделать его неправильно"|Бенджамин Франклин
"It does not matter how slowly you go as long as you do not stop."|Confucius
"Не важно с какой скоростью ты движешься к своей цели, главное не останавливаться."|Конфуций
"Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do, so throw off the bowlines, sail away from safe harbor, catch the trade winds in your sails. Explore, Dream, Discover."|Mark Twain
"Через двадцать лет вы будете более сожалеть о том, чего не сделали, чем о том, что вы сделали. Поэтому, отбросьте сомнения. Уплывайте прочь от безопасной гавани. Поймайте попутный ветер своими парусами. Исследуйте. Мечтайте. Открывайте."|Марк Твен
"Your time is limited, so don’t waste it living someone else’s life."|Steve Jobs
"Ваше время ограничено, поэтому не тратьте его на жизнь чей-то чужой жизнью."|Стив Джобс
"Every child is an artist. The problem is how to remain an artist once he grows up."|Pablo Picasso
"Каждый ребенок – художник. Трудность в том, чтобы остаться художником, выйдя из детского возраста."|Пабло Пикассо
"Whether you think you can or you think you can’t, you’re right."|Henry Ford
"Если вы думаете что вы способны на что-то, вы правы, если вы думаете что у вас не получится что-то, вы тоже правы."|Генри Форд
"You miss 100% of the shots you don’t take."|Wayne Gretzky
"Из тех бросков, которые ты не сделал, 100% — мимо ворот."|Уэйн Гретцки
